Student ID,Name,Performance (AI),Performance (Web Dev),Performance (Networking),Interest 1,Interest 2,Interest 3,Overall Rating (0-100)
1244,Student_244,82,69,82,Web Dev,Networking,AI,88
1245,Student_245,58,61,54,IoT,IoT,Web Dev,95
1246,Student_246,55,82,75,Data Science,Networking,IoT,64
1247,Student_247,65,77,62,Web Dev,IoT,Networking,98
1248,Student_248,78,57,76,Data Science,IoT,IoT,85
1249,Student_249,52,50,63,Networking,Data Science,Networking,98
1250,Student_250,69,86,73,Data Science,Web Dev,AI,70
1251,Student_251,85,71,52,IoT,IoT,Networking,70
1252,Student_252,68,55,96,Networking,AI,AI,77
1253,Student_253,75,70,98,Web Dev,AI,AI,71
1254,Student_254,52,81,79,Web Dev,Web Dev,AI,75
1255,Student_255,68,84,84,IoT,IoT,Networking,86
1256,Student_256,69,64,97,AI,Web Dev,Networking,95
1257,Student_257,81,54,63,AI,Data Science,AI,76
1258,Student_258,56,95,61,Web Dev,AI,AI,80
1259,Student_259,90,99,77,IoT,Networking,Web Dev,96
1260,Student_260,82,97,93,AI,AI,AI,90
1261,Student_261,89,55,78,Data Science,IoT,Data Science,94
1262,Student_262,88,74,92,Web Dev,Web Dev,Web Dev,86
1263,Student_263,67,95,66,Data Science,AI,Web Dev,82
1264,Student_264,89,89,89,IoT,Networking,Web Dev,91
1265,Student_265,50,78,98,Data Science,Networking,Data Science,76
1266,Student_266,60,56,70,AI,Web Dev,Web Dev,70
1267,Student_267,77,89,72,AI,Web Dev,Web Dev,60
1268,Student_268,74,62,69,Networking,AI,Networking,87
1269,Student_269,99,87,60,Web Dev,IoT,Networking,77
1270,Student_270,72,67,83,IoT,Data Science,AI,79
1271,Student_271,80,51,59,Web Dev,Networking,AI,66
1272,Student_272,79,57,59,Data Science,Web Dev,IoT,96
1273,Student_273,91,60,92,IoT,Data Science,Data Science,75
1274,Student_274,84,82,55,IoT,Data Science,Networking,98
1275,Student_275,56,87,85,AI,Data Science,AI,82
1276,Student_276,65,97,73,Data Science,IoT,Data Science,91
1277,Student_277,75,76,61,AI,Web Dev,Web Dev,76
1278,Student_278,97,69,92,AI,Networking,Data Science,78
1279,Student_279,98,61,72,Networking,Web Dev,Networking,93
1280,Student_280,51,92,76,AI,AI,IoT,73
1281,Student_281,50,80,94,Web Dev,Networking,Networking,62
1282,Student_282,97,76,86,IoT,Web Dev,AI,98
1283,Student_283,61,81,55,AI,Networking,AI,84
1284,Student_284,54,59,50,Web Dev,AI,Data Science,70
1285,Student_285,86,52,55,Data Science,Networking,Networking,74
1286,Student_286,81,94,99,IoT,Data Science,AI,78
1287,Student_287,58,76,71,Data Science,IoT,Web Dev,74
1288,Student_288,90,84,90,Web Dev,AI,Web Dev,74
1289,Student_289,84,80,73,Data Science,Networking,IoT,97
1290,Student_290,68,64,74,Data Science,AI,Data Science,74
1291,Student_291,97,65,64,Data Science,Data Science,AI,68
1292,Student_292,65,62,75,AI,IoT,IoT,64
1293,Student_293,52,98,57,AI,AI,Web Dev,78
1294,Student_294,69,84,73,AI,Data Science,IoT,83
1295,Student_295,73,60,97,IoT,Data Science,IoT,88
1296,Student_296,82,70,87,Web Dev,Data Science,AI,64
1297,Student_297,73,60,55,AI,Networking,AI,81
1298,Student_298,60,79,84,Data Science,Web Dev,AI,72
1299,Student_299,98,97,91,Data Science,AI,Data Science,88
1300,Student_300,57,84,50,Data Science,Web Dev,IoT,75
1301,Student_301,85,71,95,Data Science,Data Science,IoT,95
1302,Student_302,87,87,85,Networking,Web Dev,Data Science,76
1303,Student_303,89,80,61,IoT,Data Science,Web Dev,79
1304,Student_304,69,63,87,Web Dev,Data Science,Networking,73
1305,Student_305,84,73,60,Web Dev,IoT,Web Dev,65
1306,Student_306,97,99,61,AI,IoT,Data Science,81
1307,Student_307,74,98,91,Networking,Web Dev,IoT,99
1308,Student_308,84,81,99,Web Dev,AI,IoT,68
1309,Student_309,74,85,88,IoT,Web Dev,AI,91
1310,Student_310,78,81,56,Data Science,AI,AI,83
1311,Student_311,67,64,60,AI,Web Dev,IoT,92
1312,Student_312,95,92,85,IoT,Networking,IoT,72
1313,Student_313,67,84,80,Web Dev,Networking,AI,94
1314,Student_314,51,52,82,Networking,AI,AI,65
1315,Student_315,84,65,62,AI,IoT,Web Dev,99
1316,Student_316,65,54,67,Web Dev,AI,IoT,89
1317,Student_317,90,70,90,AI,Web Dev,IoT,97
1318,Student_318,85,59,73,Web Dev,Data Science,Data Science,75
1319,Student_319,82,68,58,Data Science,Networking,Web Dev,60
1320,Student_320,53,74,80,Networking,Data Science,Networking,77
1321,Student_321,82,53,90,Data Science,Networking,Networking,81
1322,Student_322,63,78,59,Web Dev,Web Dev,Networking,85
1323,Student_323,70,68,51,IoT,Networking,AI,73
1324,Student_324,97,92,87,Data Science,AI,Networking,96
1325,Student_325,69,51,64,IoT,Data Science,Data Science,73
1326,Student_326,57,59,52,Web Dev,Data Science,AI,85
1327,Student_327,56,92,92,Networking,Web Dev,AI,95
1328,Student_328,52,74,80,IoT,Data Science,Networking,82
1329,Student_329,66,69,55,Web Dev,Web Dev,AI,61
1330,Student_330,82,97,52,IoT,IoT,Web Dev,98
1331,Student_331,97,68,60,Data Science,AI,Web Dev,66
1332,Student_332,61,72,64,Web Dev,Networking,Networking,98
1333,Student_333,71,73,94,Data Science,Networking,Data Science,81
1334,Student_334,71,60,77,AI,Networking,AI,87
1335,Student_335,95,95,59,Web Dev,IoT,IoT,97
1336,Student_336,79,83,87,IoT,AI,Networking,79
1337,Student_337,87,77,96,AI,Data Science,AI,77
1338,Student_338,87,54,99,Data Science,Data Science,Networking,83
1339,Student_339,94,54,99,Data Science,AI,Networking,92
1340,Student_340,57,70,56,IoT,AI,Data Science,85
1341,Student_341,76,61,64,AI,Networking,IoT,78
1342,Student_342,76,99,67,Networking,Data Science,AI,72
1343,Student_343,83,53,67,IoT,AI,Networking,69
1344,Student_344,70,98,90,Data Science,Data Science,Networking,73
1345,Student_345,79,91,73,Web Dev,AI,AI,68
1346,Student_346,82,69,51,AI,Web Dev,Networking,70
1347,Student_347,77,87,89,Networking,Networking,Networking,62
1348,Student_348,96,74,69,Web Dev,AI,Networking,99
1349,Student_349,82,63,83,AI,IoT,Web Dev,71
1350,Student_350,54,60,92,IoT,AI,Web Dev,94
1351,Student_351,97,81,75,IoT,Web Dev,IoT,98
1352,Student_352,68,60,56,AI,IoT,Data Science,98
1353,Student_353,53,67,87,Networking,IoT,AI,91
1354,Student_354,84,76,79,AI,AI,Data Science,98
1355,Student_355,98,67,91,Web Dev,Web Dev,Data Science,73
1356,Student_356,66,72,54,Web Dev,IoT,Web Dev,60
1357,Student_357,93,60,60,IoT,Networking,IoT,86
1358,Student_358,77,70,50,AI,Networking,Data Science,96
1359,Student_359,79,93,83,IoT,Data Science,Data Science,60
1360,Student_360,78,54,50,Networking,Data Science,Networking,88
1361,Student_361,95,72,68,Web Dev,Web Dev,AI,83
1362,Student_362,55,90,51,Data Science,IoT,IoT,76
1363,Student_363,84,74,70,Data Science,Networking,AI,94
1364,Student_364,90,90,69,AI,Networking,Web Dev,90
1365,Student_365,86,59,72,AI,Web Dev,Data Science,91
1366,Student_366,73,71,70,Data Science,IoT,Data Science,78
1367,Student_367,78,68,73,AI,Web Dev,AI,90
1368,Student_368,98,50,53,Web Dev,AI,Web Dev,98
1369,Student_369,95,56,61,Networking,Networking,Networking,79
1370,Student_370,80,53,71,Networking,Web Dev,Networking,87
1371,Student_371,84,50,69,IoT,Web Dev,Data Science,62
1372,Student_372,82,64,67,Web Dev,AI,Data Science,91
1373,Student_373,70,89,50,AI,Data Science,IoT,81
1374,Student_374,81,61,79,AI,Networking,AI,74
1375,Student_375,72,71,82,IoT,Web Dev,Data Science,97
1376,Student_376,82,71,73,IoT,Networking,Web Dev,78
1377,Student_377,52,99,63,AI,Data Science,AI,90
1378,Student_378,67,96,85,AI,Web Dev,IoT,85
1379,Student_379,74,66,54,Web Dev,AI,Networking,64
1380,Student_380,91,78,60,IoT,Networking,IoT,79
1381,Student_381,80,95,73,Web Dev,AI,AI,61
1382,Student_382,52,63,80,AI,Data Science,Networking,80
1383,Student_383,89,99,62,Data Science,Data Science,Web Dev,95
1384,Student_384,95,69,65,Data Science,Networking,Networking,87
1385,Student_385,73,99,73,AI,Data Science,Networking,79
1386,Student_386,99,97,62,IoT,IoT,Web Dev,96
1387,Student_387,81,82,73,Data Science,Networking,Data Science,98
1388,Student_388,96,92,75,IoT,IoT,Data Science,95
1389,Student_389,71,64,51,Data Science,Data Science,Networking,70
1390,Student_390,72,61,65,IoT,Networking,Networking,62
1391,Student_391,51,89,87,Data Science,IoT,IoT,96
1392,Student_392,76,69,95,IoT,Data Science,Data Science,79
1393,Student_393,91,79,50,Web Dev,Web Dev,Web Dev,91
1394,Student_394,51,87,98,IoT,Web Dev,Networking,84
1395,Student_395,75,52,60,Web Dev,AI,Networking,80
1396,Student_396,66,77,84,Web Dev,Web Dev,IoT,75
1397,Student_397,89,75,92,AI,IoT,IoT,60
1398,Student_398,82,79,78,Web Dev,Web Dev,IoT,82
1399,Student_399,58,62,86,Networking,Networking,AI,83
1400,Student_400,92,62,66,Web Dev,Networking,Web Dev,84
1401,Student_401,97,51,88,IoT,Networking,AI,66
1402,Student_402,88,86,91,Web Dev,Web Dev,Networking,97
1403,Student_403,78,98,77,IoT,Web Dev,IoT,98
1404,Student_404,91,87,78,IoT,AI,IoT,94
1405,Student_405,75,51,92,Networking,Data Science,IoT,73
1406,Student_406,84,85,52,Web Dev,AI,Data Science,68
1407,Student_407,99,75,59,Web Dev,IoT,Web Dev,62
1408,Student_408,74,60,91,Data Science,Networking,AI,97
1409,Student_409,73,57,63,Data Science,Web Dev,Web Dev,79
1410,Student_410,62,93,61,AI,Data Science,IoT,92
1411,Student_411,56,89,96,IoT,Data Science,Networking,91
1412,Student_412,85,92,91,Networking,Web Dev,Data Science,95
1413,Student_413,94,71,79,Data Science,AI,Web Dev,85
1414,Student_414,69,69,81,Web Dev,Data Science,Networking,64
1415,Student_415,50,57,81,AI,AI,IoT,89
1416,Student_416,57,78,91,Networking,Web Dev,IoT,76
1417,Student_417,95,89,81,Web Dev,AI,IoT,65
1418,Student_418,65,75,75,Web Dev,Networking,IoT,74
1419,Student_419,63,79,50,IoT,Web Dev,Data Science,60
1420,Student_420,61,66,91,IoT,Web Dev,Data Science,72
1421,Student_421,72,69,51,Data Science,Data Science,Web Dev,93
1422,Student_422,64,65,66,Data Science,Data Science,IoT,89
1423,Student_423,77,95,79,Web Dev,Data Science,Data Science,78
1424,Student_424,83,92,88,Web Dev,Networking,Networking,61
1425,Student_425,51,56,56,Data Science,Networking,Data Science,71
1426,Student_426,81,65,76,Data Science,IoT,Data Science,99
1427,Student_427,72,94,58,Web Dev,Web Dev,Web Dev,83
1428,Student_428,71,96,71,Networking,Data Science,Data Science,70
1429,Student_429,74,97,83,Web Dev,Web Dev,Networking,61
1430,Student_430,71,76,95,Networking,AI,IoT,60
1431,Student_431,71,72,98,Networking,Networking,AI,87
1432,Student_432,98,73,50,Web Dev,IoT,Web Dev,63
1433,Student_433,91,58,58,AI,AI,Networking,89
1434,Student_434,55,84,69,Data Science,Web Dev,Web Dev,66
1435,Student_435,64,69,68,IoT,Networking,IoT,81
1436,Student_436,92,86,85,Web Dev,Data Science,Data Science,85
1437,Student_437,86,91,89,Networking,AI,Data Science,88
1438,Student_438,82,66,94,Web Dev,Networking,Networking,84
1439,Student_439,57,96,53,Data Science,Web Dev,IoT,69
1440,Student_440,93,80,58,Networking,Web Dev,AI,79
1441,Student_441,93,57,90,IoT,AI,AI,73
1442,Student_442,54,64,71,IoT,AI,Data Science,92
1443,Student_443,88,80,67,IoT,AI,IoT,64
1444,Student_444,53,79,61,AI,IoT,IoT,65
1445,Student_445,55,95,91,Networking,Data Science,Networking,81
1446,Student_446,94,69,92,Networking,Networking,AI,76
1447,Student_447,81,88,88,AI,Web Dev,Networking,74
1448,Student_448,79,61,58,Networking,Web Dev,Web Dev,98
1449,Student_449,96,98,55,AI,Data Science,IoT,99
1450,Student_450,84,66,68,Web Dev,AI,AI,87
1451,Student_451,89,91,97,Data Science,AI,Networking,61
1452,Student_452,65,79,96,IoT,Web Dev,Data Science,77
1453,Student_453,62,78,56,AI,Data Science,Web Dev,86
1454,Student_454,99,68,65,AI,Web Dev,Networking,80
1455,Student_455,91,95,54,AI,AI,Data Science,82
1456,Student_456,79,60,65,Web Dev,Networking,AI,66
1457,Student_457,68,83,50,AI,AI,AI,78
1458,Student_458,66,99,86,Data Science,Networking,Web Dev,68
1459,Student_459,68,56,88,Data Science,IoT,Data Science,71
1460,Student_460,77,93,68,IoT,Data Science,IoT,89
1461,Student_461,75,83,86,Web Dev,IoT,AI,66
1462,Student_462,86,69,66,Data Science,AI,IoT,61
1463,Student_463,75,99,75,Networking,Data Science,IoT,76
1464,Student_464,72,87,71,Networking,AI,Networking,70
1465,Student_465,58,73,57,Networking,Data Science,Networking,71
1466,Student_466,61,59,82,AI,Data Science,AI,62
1467,Student_467,50,81,51,AI,AI,IoT,80
1468,Student_468,50,64,79,Networking,AI,Networking,73
1469,Student_469,96,86,96,IoT,Data Science,Data Science,74
1470,Student_470,83,69,69,IoT,Data Science,Data Science,69
1471,Student_471,81,52,67,AI,AI,Data Science,95
1472,Student_472,97,86,92,Networking,AI,Data Science,69
1473,Student_473,74,89,59,IoT,Web Dev,IoT,76
1474,Student_474,89,57,73,AI,Web Dev,Data Science,84
